,15-19세 남자,시군구명,합계
7,19679516,서울 금천구,34474939
23,27950075,서울 중구,38695430
20,33820287,서울 용산구,52525474
2,35855078,서울 강북구,62296433
22,44204231,서울 종로구,62444816
9,35063926,서울 도봉구,62517373
24,39082732,서울 중랑구,69656461
15,45746730,서울 성동구,71877617
19,45044779,서울 영등포구,76914644
6,42613954,서울 구로구,77210059
10,52221888,서울 동대문구,78586550
11,51072495,서울 동작구,82874410
4,55022166,서울 관악구,84526590
13,60896592,서울 서대문구,91473397
5,58011485,서울 광진구,92960346
21,60214503,서울 은평구,106049107
12,71941126,서울 마포구,107986597
3,65913209,서울 강서구,115121124
16,75966285,서울 성북구,119921767
1,66294264,서울 강동구,124044790
18,71825179,서울 양천구,131698050
14,85793645,서울 서초구,146243433
8,97229385,서울 노원구,163050528
17,111515044,서울 송파구,198974831
0,151114961,서울 강남구,236961981
